UniqueKey,RECSTATUS,GlobalRecordId,FirstSaveLogonName,FirstSaveTime,LastSaveLogonName,LastSaveTime,FKEY
1,1,"21ca7457-847d-4dd6-95f8-0ea7d60df20d","CDC\mdb4","01/12/15 11:40:56","CDC\mdb4","10/13/15 15:17:57","d4234123-2322-4f46-99a8-5b936b1ec237"
2,1,"95a23f3b-57ed-48a1-a060-efd91cf91997","CDC\mdb4","01/05/15 16:54:57","CDC\mdb4","10/13/15 15:17:57","d4234123-2322-4f46-99a8-5b936b1ec237"
3,1,"c39f32b0-c454-47d0-81b1-d73ca921cb92","AMYW\Amy","01/11/17 22:15:11","AMYW\Amy","01/12/17 22:11:30","d0e08da8-d306-4a9a-a5ff-9f1d54702091"
4,1,"7c73b4ef-74e3-430a-9789-60a5a768f2c2","AMYW\Amy","01/11/17 22:16:00","AMYW\Amy","01/12/17 22:11:30","d0e08da8-d306-4a9a-a5ff-9f1d54702091"
5,1,"f8cfb636-e540-49aa-9d41-d203f1b6e4f0","CDC\mdb4","01/24/17 14:56:19","CDC\mdb4","01/24/17 14:56:20","09ed148b-3fa1-48e3-94e8-2c10352d077d"
6,1,"f20f3cb3-7a45-4ad3-b2de-6dda7fb2285c","CDC\mdb4","01/24/17 14:56:20","CDC\mdb4","01/24/17 14:56:20","9751dab5-1d53-4974-b1c7-91e565d0eec0"
7,1,"5ceb88bd-b802-4861-a12d-439e75a788df","CDC\mdb4","01/24/17 14:56:20","CDC\mdb4","01/24/17 14:56:20","e7071191-7395-4f91-b8f6-aad94f7e6335"
8,1,"d2a54b0a-0e5c-40c0-92cb-b4a2854329f4","CDC\yct2","03/28/17 16:48:15","CDC\yct2","03/28/17 16:48:16","b5003bc5-1ab3-4ba2-8aea-9f3717c9682a"
